Country Name,Total Cases,Population
USA,"81,218,315","334,294,730"
India,"42,996,062","1,403,013,575"
Brazil,"29,382,196","215,122,061"
France,"23,532,997","65,518,499"
UK,"19,700,952","68,490,853"
Germany,"17,520,804","84,238,346"
Russia,"17,412,919","146,040,602"
Turkey,"14,576,069","85,878,080"
Italy,"13,489,319","60,311,024"
Spain,"11,223,974","46,785,495"
Argentina,"8,976,079","45,899,120"
Netherlands,"7,266,972","17,199,180"
S. Korea,"7,228,550","51,344,026"
Iran,"7,126,906","85,815,922"
Vietnam,"6,552,918","98,823,902"
Colombia,"6,077,288","51,802,613"
Indonesia,"5,914,532","278,428,553"
Poland,"5,836,672","37,776,302"
Japan,"5,808,242","125,819,733"
Mexico,"5,607,845","131,229,978"
Ukraine,"4,906,408","43,288,113"
Malaysia,"3,845,601","33,069,172"
Israel,"3,725,414","9,326,000"
Czechia,"3,696,837","10,742,680"
South Africa,"3,695,175","60,576,674"
Philippines,"3,671,293","112,054,161"
Belgium,"3,658,084","11,675,174"
Australia,"3,656,931","26,001,605"
Peru,"3,536,842","33,750,640"
Portugal,"3,380,263","10,146,280"
Canada,"3,367,019","38,303,372"
Chile,"3,323,324","19,394,494"
Thailand,"3,226,697","70,097,057"
Austria,"3,225,272","9,093,557"
Switzerland,"3,156,380","8,761,967"
Denmark,"2,826,404","5,826,799"
Romania,"2,798,935","19,020,023"
Greece,"2,684,916","10,336,699"
Sweden,"2,470,254","10,206,072"
Iraq,"2,313,943","41,752,183"
Bangladesh,"1,949,942","167,471,912"
Serbia,"1,945,142","8,677,676"
Hungary,"1,814,362","9,618,744"
Jordan,"1,680,179","10,374,911"
Georgia,"1,637,691","3,976,179"
Slovakia,"1,586,140","5,464,128"
Pakistan,"1,519,627","228,162,754"
Norway,"1,357,280","5,493,136"
Ireland,"1,353,733","5,031,321"
Kazakhstan,"1,304,560","19,157,563"
Morocco,"1,162,125","37,652,441"
Bulgaria,"1,115,132","6,859,728"
Lebanon,"1,085,232","6,773,601"
Cuba,"1,077,966","11,314,889"
Croatia,"1,073,527","4,062,327"
Tunisia,"1,029,596","12,028,338"
Nepal,"978,044","30,025,194"
Lithuania,"968,723","2,657,871"
Singapore,"948,478","5,928,376"
Belarus,"943,027","9,444,051"
Slovenia,"923,011","2,079,423"
Bolivia,"897,489","11,943,011"
UAE,"885,983","10,093,038"
Uruguay,"865,644","3,494,149"
Ecuador,"849,386","18,097,285"
Costa Rica,"825,158","5,173,008"
Guatemala,"805,393","18,477,357"
Azerbaijan,"790,962","10,294,167"
Finland,"767,220","5,555,320"
Panama,"759,782","4,429,924"
Latvia,"750,683","1,850,830"
Saudi Arabia,"748,915","35,733,098"
Hong Kong,"733,785","7,600,136"
Sri Lanka,"656,386","21,565,534"
Paraguay,"646,054","7,281,105"
Kuwait,"626,114","4,377,655"
Myanmar,"606,227","55,028,441"
Palestine,"579,923","5,302,386"
Dominican Republic,"576,788","11,032,393"
Bahrain,"538,794","1,801,745"
Estonia,"534,788","1,328,048"
Venezuela,"518,460","28,299,279"
Moldova,"508,235","4,018,060"
Libya,"500,497","7,029,725"
Egypt,"495,373","105,606,213"
Ethiopia,"469,222","119,789,068"
Mongolia,"467,100","3,367,795"
Armenia,"422,076","2,972,637"
Honduras,"416,729","10,171,684"
New Zealand,"399,342","5,002,100"
Oman,"386,829","5,326,695"
Bosnia and Herzegovina,"373,359","3,246,206"
Qatar,"359,361","2,807,805"
Cyprus,"356,784","1,222,265"
Kenya,"323,195","55,778,691"
Zambia,"315,202","19,256,239"
Réunion,"310,181","906,149"
North Macedonia,"301,895","2,083,229"
Albania,"272,689","2,872,467"
Algeria,"265,457","45,193,372"
Botswana,"263,950","2,432,109"
Nigeria,"254,989","214,797,317"
Zimbabwe,"242,909","15,229,773"
Uzbekistan,"237,281","34,291,639"
Montenegro,"231,719","628,201"
Mozambique,"225,179","32,739,016"
Kyrgyzstan,"200,758","6,706,682"
Luxembourg,"193,939","643,244"
Afghanistan,"176,571","40,414,161"
Maldives,"174,658","556,683"
Iceland,"165,299","344,999"
Uganda,"163,517","48,187,903"
Ghana,"160,716","32,172,297"
Namibia,"157,438","2,618,911"
El Salvador,"156,364","6,541,715"
Laos,"147,409","7,454,566"
Cambodia,"134,352","17,111,295"
Trinidad and Tobago,"133,151","1,407,175"
Guadeloupe,"130,705","400,240"
Rwanda,"129,602","13,496,283"
Jamaica,"128,400","2,983,089"
Martinique,"126,221","374,771"
China,"120,504","1,439,323,776"
Cameroon,"119,322","27,665,586"
Brunei,"116,924","444,583"
Angola,"98,931","34,598,083"
DRC,"86,344","94,173,885"
Senegal,"85,808","17,491,556"
Malawi,"85,504","19,967,552"
Ivory Coast,"81,598","27,485,151"
Suriname,"78,793","595,546"
French Guiana,"78,148","311,800"
Malta,"73,195","443,538"
French Polynesia,"70,436","283,662"
Eswatini,"69,459","1,180,535"
Fiji,"64,081","907,462"
Madagascar,"63,870","28,897,258"
Guyana,"63,147","792,989"
Sudan,"61,713","45,584,291"
New Caledonia,"59,616","290,153"
Mauritania,"58,659","4,856,742"
Channel Islands,"57,265","176,581"
Barbados,"57,102","287,972"
Belize,"57,071","409,865"
Cabo Verde,"55,907","566,228"
Syria,"55,399","18,221,082"
Gabon,"47,570","2,314,734"
Papua New Guinea,"41,533","9,234,315"
Seychelles,"39,605","99,380"
Curaçao,"39,459","165,231"
Andorra,"38,794","77,475"
Burundi,"38,274","12,490,719"
Togo,"36,860","8,607,541"
Mayotte,"36,745","283,970"
Guinea,"36,435","13,736,345"
Mauritius,"34,356","1,275,348"
Faeroe Islands,"34,237","49,178"
Aruba,"33,796","107,535"
Tanzania,"33,726","62,616,751"
Bahamas,"33,198","399,616"
Lesotho,"32,775","2,171,051"
Haiti,"30,461","11,638,238"
Mali,"30,423","21,239,002"
Benin,"26,575","12,661,238"
Somalia,"26,400","16,644,458"
Isle of Man,"24,913","85,796"
Congo,"24,049","5,748,245"
Saint Lucia,"22,856","185,050"
Timor-Leste,"22,789","1,361,012"
Taiwan,"21,402","23,889,893"
Burkina Faso,"20,751","21,874,410"
Bhutan,"19,435","786,016"
Cayman Islands,"19,433","67,031"
Nicaragua,"18,203","6,758,205"
Tajikistan,"17,388","9,900,703"
South Sudan,"17,064","11,416,270"
Gibraltar,"15,929","33,674"
Equatorial Guinea,"15,898","1,481,056"
Djibouti,"15,568","1,012,361"
San Marino,"14,726","34,052"
Liechtenstein,"14,424","38,314"
CAR,"14,320","4,972,125"
Grenada,"13,690","113,407"
Bermuda,"11,989","61,888"
Gambia,"11,973","2,531,694"
Greenland,"11,879","56,937"
Yemen,"11,793","30,939,279"
Dominica,"11,529","72,289"
Saint Martin,"9,912","39,784"
Monaco,"9,827","39,714"
Eritrea,"9,722","3,629,646"
Sint Maarten,"9,629","43,701"
Solomon Islands,"9,124","715,428"
Niger,"8,781","25,690,539"
Comoros,"8,069","900,997"
Guinea-Bissau,"8,068","2,046,825"
Sierra Leone,"7,668","8,251,941"
Caribbean Netherlands,"7,653","26,636"
Antigua and Barbuda,"7,466","99,304"
Liberia,"7,397","5,259,133"
Chad,"7,267","17,224,386"
St. Vincent Grenadines,"6,743","111,538"
British Virgin Islands,"6,104","30,572"
Sao Tome and Principe,"5,936","226,058"
Turks and Caicos,"5,874","39,605"
Saint Kitts and Nevis,"5,541","53,837"
Palau,"3,922","18,240"
St. Barth,"3,780","9,928"
Kiribati,"3,038","122,556"
Anguilla,"2,595","15,230"
Tonga,"2,072","107,726"
Saint Pierre Miquelon,"1,316","5,746"
Diamond Princess,712,
Wallis and Futuna,454,"10,905"
Cook Islands,379,"17,591"
Vanuatu,341,"319,308"
Montserrat,171,"4,997"
Falkland Islands,118,"3,652"
Macao,82,"664,344"
Samoa,48,"200,650"
Vatican City,29,804
Western Sahara,10,"622,226"
MS Zaandam,9,
Marshall Islands,7,"59,867"
Saint Helena,2,"6,108"
Micronesia,1,"117,068"
Niue,1,"1,645"
